"island","presence","sex","svl","Jaw.length","Width","Height","Outlever","Open.inlever","Close.inlever","Head.length"
"s.twin",0,"m",59.63,17.459,8.87,5.75,15.15,1.901,3.654,11.318
"s.twin",0,"m",54.16,16.654,8.528,5.59,14.457,1.746,3.825,11.219
"s.twin",0,"m",56.5,16.326,8.134,5.31,14.367,1.591,3.446,11.432
"s.twin",0,"f",46.67,12.193,6.607,4.64,10.601,1.275,2.468,8.299
"s.twin",0,"f",48.25,12.442,6.815,4.4,10.778,1.335,2.539,9.106
"s.twin",0,"m",55.68,15.825,8.477,5.31,13.718,1.72,3.382,11.338
"s.twin",0,"f",49.46,12.352,6.95,4.62,10.599,1.373,2.216,9.049
"hornet",0,"m",50.44,13.57,7.801,5.29,11.713,1.487,2.746,9.655
"hornet",0,"m",55.88,15.472,8.302,5.68,13.208,1.887,3.208,10.945
"hornet",0,"m",58.12,16.21,8.971,5.83,14.007,1.752,3.352,11.448
"hornet",0,"m",56.83,15.528,8.471,5.71,13.413,1.627,3.235,11.338
"hornet",0,"m",50.98,13.811,7.526,4.95,11.855,1.572,2.714,9.615
"hornet",0,"m",55.02,15.099,8.035,5.71,13.186,1.488,3.129,10.946
"hornet",0,"m",59.07,16.838,8.915,5.96,14.555,1.823,3.587,11.615
"hornet",0,"m",58.1,15.504,8.384,5.8,13.289,1.764,3.239,10.573
"hornet",0,"m",58.74,16.348,8.806,5.86,14.578,1.365,3.751,11.636
"hook",1,"f",48.12,12.342,7.288,4.65,10.666,1.263,2.603,8.975
"hook",1,"m",51.88,14.299,8.094,5.09,12.586,1.322,3.084,10.41
"hook",1,"m",58.81,16.904,9.253,6.17,14.443,1.93,3.176,12.09
"hook",1,"m",49.53,13.868,7.607,4.84,11.922,1.555,2.841,9.815
"hook",1,"f",47.05,12.157,6.767,4.66,10.435,1.381,2.471,8.955
"hook",1,"m",54.41,15.02,7.715,5.24,13.147,1.486,2.86,11.06
"hook",1,"m",55.39,15.735,7.999,5.59,13.569,1.809,3.284,10.951
"hook",1,"m",51.92,15.125,7.634,5.13,13.189,1.575,3.094,10.099
"hook",1,"m",51.44,15.058,7.694,5.28,13.036,1.715,3.076,10.265
"hook",1,"f",47.59,12.494,7.376,4.76,10.754,1.34,2.598,8.391
"hook",1,"m",52.59,15.242,7.982,5.18,13.277,1.543,2.985,10.678
"hook",1,"m",52.96,14.274,7.812,5.06,12.627,1.286,3.095,10.578
"hook",1,"m",56.37,16.135,8.917,5.73,13.828,1.824,3.306,11.967
"hook",1,"m",54.26,15.465,8.08,5.34,13.359,1.643,3.118,11.339
"lizard",1,"m",58.04,16.271,8.378,5.51,14.231,1.711,3.458,11.893
"lizard",1,"f",43.99,11.749,6.749,4.39,10.097,1.308,2.323,8.044
